dt,occupancy,consumptionKWh,compound_index,weekend,cos_day_of_year,sin_day_of_year,Temp,wx,wy,zenith,azimuth
2012-12-30 00:00:00+00:00,228.0,5658.0,0.0,1,1.0,6.432490598706546e-16,23.1,0.0,0.0,0.3433077204521432,0.9990054134526619
2012-12-31 00:00:00+00:00,210.0,5850.0,0.0,0,0.9998518392091162,0.017213356155833904,22.3,0.0,-0.0,0.34369209322486616,0.9991266665551842
2013-01-01 00:00:00+00:00,190.0,5673.0,1.0,0,0.9998518392091162,0.017213356155834685,20.0,-0.0,-0.0,0.3441147208200092,0.999248097085344
2013-01-02 00:00:00+00:00,197.0,5955.0,0.0,0,0.9994074007397048,0.034421611622745735,27.02,0.2682462710518105,0.9213448414870832,0.34457509272182535,0.9993677917353
2013-01-03 00:00:00+00:00,201.0,6177.0,0.0,0,0.998666816288476,0.051619667223253764,19.6,1.0016577899422343,-0.0,0.34507264818229993,0.9994837163954868
2013-01-04 00:00:00+00:00,170.0,5928.0,0.0,0,0.9976303053065856,0.06880242680231986,21.86,1.7899752020642723,0.4741182908060401,0.34560677461211586,0.9995937218465234
2013-01-05 00:00:00+00:00,149.0,5715.0,0.0,1,0.9962981749346078,0.08596479873744647,21.28,1.0746108168309392,0.0,0.34617680578370236,0.9996955506386708
2013-01-06 00:00:00+00:00,132.0,5823.0,0.0,1,0.9946708199115212,0.10310169744743483,23.66,0.06363651569220645,-0.0,0.3467820202613798,0.9997868453681832
2013-01-07 00:00:00+00:00,112.0,5317.0,0.0,0,0.9927487224577402,0.1202080448993527,27.98,1.2313539845917292,-0.0,0.34742164075527954,0.9998651584942488
2013-01-08 00:00:00+00:00,96.0,5193.0,0.0,0,0.9905324521322229,0.13727877211326478,27.880000000000006,1.1038031976567328,-0.0,0.3480948353702686,0.9999279637195848
2013-01-09 00:00:00+00:00,80.0,5041.0,0.0,0,0.9880226656636976,0.15430882066428114,29.56,0.052100963184057665,-0.0,0.3488007214306314,0.999972668711398
2013-01-10 00:00:00+00:00,72.0,4559.0,0.0,0,0.9852201067560606,0.1712931441814776,29.56,0.0,-0.0,0.3495383715028475,0.9999966286182316
2013-01-11 00:00:00+00:00,65.0,4387.0,0.0,0,0.9821256058680006,0.1882267098432442,26.18,0.0,-0.0,0.3503068198715257,0.99999715965264
2013-01-12 00:00:00+00:00,72.0,4530.0,0.0,1,0.9787400799669153,0.2051044998686192,21.5,0.1470313334019103,0.0,0.3511050671675488,0.9999715521942854
2013-01-13 00:00:00+00:00,58.0,4242.0,0.0,1,0.9750645322571948,0.2219215130041655,23.62,0.29237170472273705,0.0,0.35193208177794016,0.9999170833662788
2013-01-14 00:00:00+00:00,48.0,4305.0,0.0,0,0.9711000518829505,0.2386727660059501,22.66,0.07551844692598053,0.0,0.35278679862746054,0.99983102948785
2013-01-15 00:00:00+00:00,45.0,4001.0,0.0,0,0.9668478136052776,0.255353295116187,22.860000000000007,0.0,0.0,0.353668117485503,0.9997106788400772
2013-01-16 00:00:00+00:00,35.0,4040.0,0.0,0,0.9623090774541486,0.2719581575341055,24.1,0.3481658420307968,0.0,0.35457490292009863,0.9995533448020628
2013-01-17 00:00:00+00:00,37.0,4012.0,0.0,0,0.9574851883550392,0.288482432880609,22.58,1.2297058314499199,0.0,0.35550598653328636,0.9993563790112744
2013-01-18 00:00:00+00:00,40.0,3765.0,0.0,0,0.9523775757303974,0.3049212246562891,21.26,0.9451028327127476,-0.0,0.3564601704660727,0.9991171841518494
2013-01-19 00:00:00+00:00,35.0,3675.0,0.0,1,0.9469877530760752,0.3212696616923644,23.1,0.622004847892661,3.047179538906367,0.35743623062604823,0.9988332262759092
2013-01-20 00:00:00+00:00,25.0,3653.0,0.0,1,0.9413173175128472,0.3375228995941133,21.28,0.2000319439903551,-0.0,0.3584329188549103,0.9985020468401374
2013-01-21 00:00:00+00:00,25.0,3914.0,0.0,0,0.9353679493131484,0.3536761221763716,23.08,0.5896733524303234,0.0,0.3594489643358925,0.998121274608318
2013-01-22 00:00:00+00:00,27.0,3844.0,0.0,0,0.9291414114031744,0.3697245428906731,22.28,0.0,0.0,0.36048307496635523,0.9983786624426582
2013-01-23 00:00:00+00:00,23.0,3831.0,0.0,0,0.9226395488404876,0.3856634062436071,22.72,0.054851751247043286,0.0,0.3615339390590098,0.9986703756571024
2013-01-24 00:00:00+00:00,22.0,3630.0,0.0,0,0.9158642882672872,0.40148798920597295,22.2,0.0,0.0,0.36260022720563934,0.9989376511949308
2013-01-25 00:00:00+00:00,22.0,3824.0,0.0,0,0.9088176373395028,0.4171936026123168,22.3,0.0031410759078128237,0.0,0.36368059408717435,0.9991787478138098
2013-01-26 00:00:00+00:00,20.0,3710.0,0.0,1,0.901501684131884,0.4327755925504312,23.1,0.0,0.0,0.364773680285089,0.9993919793630798
2013-01-27 00:00:00+00:00,25.0,3252.0,0.0,1,0.8939185965192571,0.4482293417404106,23.94,0.019041931253184124,-0.0,0.36587811424789335,0.9995757191923416
2013-01-28 00:00:00+00:00,32.0,3557.0,0.0,0,0.8860706215341378,0.4635502709028509,23.16,0.2588854381999832,0.0,0.3669925142496049,0.9997284040931704
2013-01-29 00:00:00+00:00,35.0,3320.0,0.0,0,0.8779600847008882,0.4787338401157885,22.96,0.0,0.5135726972593467,0.3681154897766192,0.9998485377200316
2013-01-30 00:00:00+00:00,35.0,3420.0,0.0,0,0.8695893893466109,0.4937755501599772,26.94,0.08763066800438636,0.74936201102073,0.3692456418652035,0.9999346935732202
2013-01-31 00:00:00+00:00,38.0,3797.0,0.0,0,0.8609610158889943,0.5086709438521044,27.42,0.0,1.326676900578016,0.3703815624658962,0.999985517818518
2013-02-01 00:00:00+00:00,69.0,4219.0,0.0,0,0.8520775211013093,0.5234156073655503,23.16666666666667,0.0,-0.0,0.371521833450193,0.9999997323022124
2013-02-02 00:00:00+00:00,75.0,3979.0,0.0,1,0.8429415373547828,0.5380051715382996,24.36,0.03069284844741523,0.0,0.3726650259755792,0.9999761380226524
2013-02-03 00:00:00+00:00,72.0,3818.0,0.0,1,0.8335557718385699,0.5524353131676196,20.6,0.09539597999449853,2.698152410520497,0.3738097006121478,0.9999136191199738
2013-02-04 00:00:00+00:00,80.0,3819.0,0.0,0,0.8239230057575542,0.5667017562911176,24.58,0.0,2.7924374482209595,0.3749544084332669,0.9998111472647596
2013-02-05 00:00:00+00:00,68.0,3917.0,0.0,0,0.8140460935082178,0.5808002734538009,21.56,0.8467926920588029,-0.0,0.376097693370366,0.9996677861680072
2013-02-06 00:00:00+00:00,68.0,3836.0,0.0,0,0.8039279618328213,0.5947266869607634,24.26,0.2924004555620121,-0.0,0.3772380961796475,0.9994826957514408
2013-02-07 00:00:00+00:00,78.0,4114.0,0.0,0,0.7935716089521474,0.6084768701151261,26.62,0.9249930282229494,-0.0,0.3783741599583896,0.9992551353581132
2013-02-08 00:00:00+00:00,87.0,4188.0,0.0,0,0.7829801036770629,0.6220467484408675,28.78,0.3656783416469553,-0.0,0.3795044362736177,0.998984465436226
